station,h2,delta_alpha,q_stable,max_h_neg,source
AATB,0.9968,1.1447,True,1.671,This work
JUNG,0.988,0.4516,True,1.126,Varotsos (2025)
KERG,0.9793,1.5407,True,2.02,This work
NEWK,1.0106,1.6801,True,2.19,This work
OULU,0.9894,0.5277,True,1.139,This work
SOPO,1.01,2.0756,True,2.539,This work
THUL,1.0053,1.6221,True,2.129,This work
JUNG1,1.2016,0.5464,True,1.402,This work
MXCO,0.9804,1.7218,True,2.036,This work
APTY,1.005,0.6157,True,1.227,This work
ATHN,1.0275,1.296,True,1.908,Varotsos (2025)
FSMT,1.049,1.7129,True,2.221,This work
INVK,0.9841,1.5657,True,1.998,This work
NAIN,1.0196,1.7413,True,2.275,This work
PSNM,0.9666,0.9777,True,1.542,This work
BKSN,0.7533,2.3536,True,2.325,This work
